emoji;name;UTF code;Kategorie;Schlüsselwörter;Beschreibung;Beispiel;Emoji-Beziehung
😒;verstimmtes Gesicht;1F612;Smileys & Emotionen - gesichtsneutral-skeptisch;Gesicht | unglücklich | verstimmtes Gesicht;"Ein Gesicht mit leichtem Stirnrunzeln und missbilligenden Augenbrauen. Vermittelt negative Emotionen wie Unannehmlichkeiten, Unzufriedenheit, Abneigung oder Wut. Kann auch verwendet werden, um sich denen zu stellen, die über dich lachen. Die Bedeutung des Emoji-Symbols 😒 ist verstimmtes Gesicht, es ist verwandt mit Gesicht, unglücklich, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 🤐 gesichtsneutral-skeptisch"".";Meine Freundin hat in mein Ins Kommentare geschreibt: Du bist dick wie ein Faß.😒 😒 😒 .;😒😠😼😕😑🤦🤨🙄🤥🤢
😩;erschöpftes Gesicht;1F629;Smileys & Emotionen - Gesicht besorgt;erschöpft | erschöpftes Gesicht | Gesicht | müde;"Stirnrunzelndes, erschöpftes Gesicht mit abfallendem Mundwinkel.Es kann Emotionen wie Frustration, Traurigkeit, Schmerz, Müdigkeit oder Langeweile vermitteln oder geistig/körperlich völlig ausgeläuft sein. Die Bedeutung des Emoji-Symbols 😩 ist erschöpftes Gesicht, es ist verwandt mit erschöpft, erschöpftes Gesicht, Gesicht, müde, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😞 Gesicht besorgt"".";Warum gibt es heute so viele Menschen im Museum. Das Volk drängte sich.😩 😩;😩😠😖😥😰😯😭😣🤬😴
😁;strahlendes Gesicht mit lachenden Augen;1F601;Smileys & Emotionen - lächelndes Gesicht;Gesicht | lustig | strahlendes Gesicht mit lachenden Augen | Zähne;"Lachendes Gesicht mit offenem Mund und lächelnden Augen Dieses Emoji drückt Glück aus und wird auch verwendet, um Zustimmung oder Zufriedenheit auszudrücken. Seine Farbe variiert je nach Plattform.Verwandte Emojis: 😬 🤩 😸 🤠 Die Bedeutung des Emoji-Symbols 😁 ist strahlendes Gesicht mit lachenden Augen, es ist verwandt mit Gesicht, lustig, Zähne, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😄 lächelndes Gesicht"".";Eine Flasche Mineralwasser ohne Kohlensäure, bitte.😁;😁😬🤩😸🤠😀🙂😺😇😃
☺️;lächelndes Gesicht;263A;Smileys & Emotionen - Gesichtszuneigung;fröhlich | Lächeln | lächelnd | lächelndes Gesicht;"Klassisches Smiley-Gesicht, es kann als der Pionier des Emoji angesehen werden. Es kniff die Augen zusammen und lächelte rot. Wird im Allgemeinen verwendet, um Glück, Wärme, Glück oder Dankbarkeit auszudrücken. Textbasierte Variante: :) oder :-).Ähnlich wie 😊 Der aktuelle ☺️ ist eine Variante von Emoji (Emoji-Stil, der auf den meisten neuen Plattformen farbenfrohe Symbole anzeigt) und verfügt über zwei entsprechende Emoji: ☺ (Basis-Emoji ohne Variantensymbole) und ☺︎ (Textstil, Anzeige von schwarzen und weißen Symbolen) einige alte Plattformen). Die Bedeutung des Emoji-Symbols ☺️ ist lächelndes Gesicht, es ist verwandt mit fröhlich, Lächeln, lächelnd, lächelndes Gesicht, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😍 Gesichtszuneigung"".";Ihre Freundin sagt Ihnen: „Ich habe mir gerade die Haare geschnitten, mein Freund hat mir gesagt, dass es süß aussieht ☺️ “ Danke, lieber ☺️;☺️😊😋😀😁🤗😚😌🙂😇
🙏;zusammengelegte Handflächen;1F64F;Menschen & Körper - Hände;beten | betende Hände | bitte | Gebet;"Die beiden Hände sind zusammengeschlossen, werden normalerweise zum Gebet, Bitte oder Danke verwendet und manchmal verwendet, um Traurigkeit, Bedauern oder High-Five auszudrücken. Die Bedeutung des Emoji-Symbols 🙏 ist zusammengelegte Handflächen, es ist verwandt mit beten, betende Hände, bitte, Gebet, finden Sie in der Emoji-Kategorie: "" 👌 Menschen & Körper"" - "" 🤝 Hände"". 🙏 ist eine Emoji-Modifikatorbasis, kann als einzelnes Emoji verwendet werden und kann auch mit dem Hautton-Emoji-Modifikator kombiniert werden, um ein neues Emoji zu bilden. Es gibt 5 Arten von Emoji-Modifikatoren, nämlich: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 🙏 wird mit diesen Hautton-Emoji-Modifikatoren kombiniert, um neue Emoji-Modifikatorsequenzen zu bilden. Das Folgende sind Beispiele für die Kombination: 🙏🏻 = 🙏 + 🏻 🙏🏼 = 🙏 + 🏼 🙏🏽 = 🙏 + 🏽 🙏🏾 = 🙏 + 🏾 🙏🏿 = 🙏 + 🏿";Sei bitte nett zu Tieren. 🙏 🙏 🙏;🙏👐🤲🕋🧎✝⛪🕍🙇🙌
👍;Daumen hoch;1F44D;Menschen & Körper - Hand-Finger-Geschlossen;Daumen | Daumen hoch | gut | Hand | nach oben;"Das ist eine Daumen hoch-Geste. Das Emoji wird normalerweise verwendet, um Zustimmung oder Lob auszudrücken, bedeutet aber oft auch großartige, gute Arbeit und schön. Seine Verwendung ist sehr ähnlich wie 🤙. Es sollte jedoch beachtet werden , dass es kulturelle Unterschiede in verschiedenen Regionen: in Westafrika, dem Mittleren Osten, Russland und Südamerika, bedeutet das gleiche wie 🖕 in der westlichen Zivilisation. Die Bedeutung des Emoji-Symbols 👍 ist Daumen hoch, es ist verwandt mit Daumen, gut, Hand, nach oben, finden Sie in der Emoji-Kategorie: "" 👌 Menschen & Körper"" - "" 👍 Hand-Finger-geschlossen"". Die aktuelle 👍 ist ein grundlegendes Emoji ohne Variantensymbole, und es gibt zwei entsprechende Emoji-Variationssequenzen: 👍️ (Emoji-Stil, Anzeige bunter Symbole auf den meisten neuen Plattformen) und 👍︎ (Textstil, Anzeige schwarz-weißer Symbole) einige alte Plattformen). 👍 ist eine Emoji-Modifikatorbasis, kann als einzelnes Emoji verwendet werden und kann auch mit dem Hautton-Emoji-Modifikator kombiniert werden, um ein neues Emoji zu bilden. Es gibt 5 Arten von Emoji-Modifikatoren, nämlich: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 👍 wird mit diesen Hautton-Emoji-Modifikatoren kombiniert, um neue Emoji-Modifikatorsequenzen zu bilden. Das Folgende sind Beispiele für die Kombination: 👍🏻 = 👍 + 🏻 👍🏼 = 👍 + 🏼 👍🏽 = 👍 + 🏽 👍🏾 = 👍 + 🏾 👍🏿 = 👍 + 🏿";Danke, dass du es in meinen Feed aufgenommen hast 👍 .;👍🤙🖕👏🙆👌🙌🆗👎✌
😉;zwinkerndes Gesicht;1F609;Smileys & Emotionen - lächelndes Gesicht;Gesicht | Zwinkern | zwinkerndes Gesicht;"Ein fröhliches Augenzwinkern, Einer der beliebtesten Emojis. Das Emoji kann Humor ausdrücken und wird auch häufig in Flirtszenen verwendet. Verwandte Emojis: 😝 😜 😙 😏 Die Bedeutung des Emoji-Symbols 😉 ist zwinkerndes Gesicht, es ist verwandt mit Gesicht, Zwinkern, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😄 lächelndes Gesicht"".";Grüße an alle Schönheiten hier 😉;😉😝😜😙😏😘😊🤨🙄✨
👌;OK-Zeichen;1F44C;Menschen & Körper - Hand-Finger-partiell;exzellent | Hand | in Ordnung | OK | OK-Zeichen | perfekt;"Das ist eine rechte Hand, die an der Seite gehalten wird. Zehn Finger und die Daumenspitze sind zu einem Kreis ⭕️ zusammengeklebt , was 🆗 bedeutet. Das Emoji steht für ;gut; und ;akzeptieren; und kann auch die Zahl 3⃣ und die mundförmige Hand im Dai- Pfauentanz 🦚 darstellen . Manchmal bedeutet Das, dass Sie sprachlos sind und das Thema schnell beenden möchten. Verwandte Emojis: 🤘 🤙 🤞 🤟. Die Bedeutung des Emoji-Symbols 👌 ist OK-Zeichen, es ist verwandt mit exzellent, Hand, in Ordnung, OK, perfekt, finden Sie in der Emoji-Kategorie: "" 👌 Menschen & Körper"" - "" 👌 Hand-Finger-partiell"". 👌 ist eine Emoji-Modifikatorbasis, kann als einzelnes Emoji verwendet werden und kann auch mit dem Hautton-Emoji-Modifikator kombiniert werden, um ein neues Emoji zu bilden. Es gibt 5 Arten von Emoji-Modifikatoren, nämlich: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 👌 wird mit diesen Hautton-Emoji-Modifikatoren kombiniert, um neue Emoji-Modifikatorsequenzen zu bilden. Das Folgende sind Beispiele für die Kombination: 👌🏻 = 👌 + 🏻 👌🏼 = 👌 + 🏼 👌🏽 = 👌 + 🏽 👌🏾 = 👌 + 🏾 👌🏿 = 👌 + 🏿";Wenn Sie zum Beispiel auf Geschäftsreise sind, kann es einen Monat dauern, Ihre Frau macht sich ein wenig Sorgen um Sie, Sie möchten zum Ausdruck bringen, dass Sie dort sehr gut sind: Baby, keine Sorge, alles läuft gut 👌 .;👌⭕️🆗3⃣🦚🤘🤙🤞🤟🙆
😅;grinsendes Gesicht mit Schweißtropfen;1F605;Smileys & Emotionen - lächelndes Gesicht;Gesicht | grinsendes Gesicht mit Schweißtropfen | lustig | Schweiß | schwitzen;"Ein grinsendes Gesicht mit Schweißtropfen, stellt Spannung oder Verlegenheit dar, kann aber auch verwendet werden, um Komfort auszudrücken. Verwandte Emojis: 😢 😥 💧 😓 😰 😂 😳 Die Bedeutung des Emoji-Symbols 😅 ist grinsendes Gesicht mit Schweißtropfen, es ist verwandt mit Gesicht, grinsendes Gesicht mit Schweißtropfen, lustig, Schweiß, schwitzen, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😄 lächelndes Gesicht"".";Ich habe es vergessen, meine Bücher mitzubringen. 😅;😅😢😥💧😓😰😂😳😬😃
👀;Augen;1F440;Menschen & Körper - Körperteile;Auge | Augen | Gesicht;"Das ist ein Paar Comic-Augen, die nach links schauen. Es wird auch in der Mitte auf Messenger-, Softbank- und Microsoft-Plattformen angezeigt. Es sieht ein wenig lustig aus und kann verwendet werden, um Überwachung, Voyeurismus, Zensur und Aufmerksamkeit sowie Spähen und Erwartung anzuzeigen. Verwandte Emojis: 🕶 👁 👁️ Die Bedeutung des Emoji-Symbols 👀 ist Augen, es ist verwandt mit Auge, Gesicht, finden Sie in der Emoji-Kategorie: "" 👌 Menschen & Körper"" - "" 👃 Körperteile"".";Bald komme ich 👀 ！;👀🕶👁👁️‍🗨️👓🥺🙄😳🙈😎
