emoji;UTF code;Beschreibung;Schlüsselwörter
😒;1F612;"Ein Gesicht mit leichtem Stirnrunzeln und missbilligenden Augenbrauen. Vermittelt negative Emotionen wie Unannehmlichkeiten, Unzufriedenheit, Abneigung oder Wut. Kann auch verwendet werden, um sich denen zu stellen, die über dich lachen. Die Bedeutung des Emoji-Symbols 😒 ist verstimmtes Gesicht, es ist verwandt mit Gesicht, unglücklich, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 🤐 gesichtsneutral-skeptisch"".";Gesicht | unglücklich | verstimmtes Gesicht | ewersättigt | blàseert | unzfreeda | aufgeregter | aufgeregten | aufgeregt | uffgerejt | ufgerejt | ufgeregt | ufgregt | ufigerejt | unangenehmi | unangenehme | unangenehm | unangenehmen
😩;1F629;"Stirnrunzelndes, erschöpftes Gesicht mit abfallendem Mundwinkel.Es kann Emotionen wie Frustration, Traurigkeit, Schmerz, Müdigkeit oder Langeweile vermitteln oder geistig/körperlich völlig ausgeläuft sein. Die Bedeutung des Emoji-Symbols 😩 ist erschöpftes Gesicht, es ist verwandt mit erschöpft, erschöpftes Gesicht, Gesicht, müde, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😞 Gesicht besorgt"".";erschöpft | erschöpftes Gesicht | Gesicht | müde | ärschäpf | miad | meed | Empörung | gequält | schempfa | schimpfen | Schimpf | schimpfend | unzefriddene | unzufriedener | unzefridde | Empörend | empörend
😁;1F601;"Lachendes Gesicht mit offenem Mund und lächelnden Augen Dieses Emoji drückt Glück aus und wird auch verwendet, um Zustimmung oder Zufriedenheit auszudrücken. Seine Farbe variiert je nach Plattform.Verwandte Emojis: 😬 🤩 😸 🤠 Die Bedeutung des Emoji-Symbols 😁 ist strahlendes Gesicht mit lachenden Augen, es ist verwandt mit Gesicht, lustig, Zähne, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😄 lächelndes Gesicht"".";Gesicht | lustig | strahlendes Gesicht mit lachenden Augen | Zähne | Lachla |Zàhn | Zehn | lachlanda Gsecht | lächelnd | Lächelt| lächelt | lachelt | witzig | wunderbari | wunderbare | wunderbara | wunderbar | wunderbarer | Fräide | Freud | Fraide | Freuden | Freide | Freude | Freida | Freid
☺️;263A;"Klassisches Smiley-Gesicht, es kann als der Pionier des Emoji angesehen werden. Es kniff die Augen zusammen und lächelte rot. Wird im Allgemeinen verwendet, um Glück, Wärme, Glück oder Dankbarkeit auszudrücken. Textbasierte Variante: :) oder :-).Ähnlich wie 😊 Der aktuelle ☺️ ist eine Variante von Emoji (Emoji-Stil, der auf den meisten neuen Plattformen farbenfrohe Symbole anzeigt) und verfügt über zwei entsprechende Emoji: ☺ (Basis-Emoji ohne Variantensymbole) und ☺︎ (Textstil, Anzeige von schwarzen und weißen Symbolen) einige alte Plattformen). Die Bedeutung des Emoji-Symbols ☺️ ist lächelndes Gesicht, es ist verwandt mit fröhlich, Lächeln, lächelnd, lächelndes Gesicht, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😍 Gesichtszuneigung"".";fröhlich | Lächeln | lächelnd | lächelndes Gesicht | Lachla | lachlanda Gsecht | lächelnd | Lächelt | lächelt | lachelt | friendlicher | frindli | friendlich | freundlich | frindlichs | friendli | freundlichen | freundliche | friendliche | frindlich | Freundlich | freundlicher
🙏;1F64F;"Die beiden Hände sind zusammengeschlossen, werden normalerweise zum Gebet, Bitte oder Danke verwendet und manchmal verwendet, um Traurigkeit, Bedauern oder High-Five auszudrücken. Die Bedeutung des Emoji-Symbols 🙏 ist zusammengelegte Handflächen, es ist verwandt mit beten, betende Hände, bitte, Gebet, finden Sie in der Emoji-Kategorie: "" 👌 Menschen & Körper"" - "" 🤝 Hände"". 🙏 ist eine Emoji-Modifikatorbasis, kann als einzelnes Emoji verwendet werden und kann auch mit dem Hautton-Emoji-Modifikator kombiniert werden, um ein neues Emoji zu bilden. Es gibt 5 Arten von Emoji-Modifikatoren, nämlich: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 🙏 wird mit diesen Hautton-Emoji-Modifikatoren kombiniert, um neue Emoji-Modifikatorsequenzen zu bilden. Das Folgende sind Beispiele für die Kombination: 🙏🏻 = 🙏 + 🏻 🙏🏼 = 🙏 + 🏼 🙏🏽 = 🙏 + 🏽 🙏🏾 = 🙏 + 🏾 🙏🏿 = 🙏 + 🏿";beten | betende Hände | bitte | Gebet | Hànd | batta | betta | Zammehalte | Heiligi | Heilig | heilige | Heiligen | Heiliger | heiligi | heilich | heil | heiligen | Heiliga | heilig | heiliger | Heilige | heilijeh | heiliga | Häiliger | bynander | binand | bienander | beieinander | binander | bienöönder | bienand | zamme | zusamm | zusammen | zammen | zsamme | Gebätter | Gebet | Gebat | Gebatt | Gebett | Gebætt | Glöüwe | glaube | glaauwe | gläuib | Gloiwa | Glauben | Glauwe | glauibe | glauib | gläube | glaub | Glaub | glauben | glab | glaüb | gläuwe | Gläuwe | Glaube | gläub | Glauiwe | glaub | glauwe | Gläub
👍;1F44D;"Das ist eine Daumen hoch-Geste. Das Emoji wird normalerweise verwendet, um Zustimmung oder Lob auszudrücken, bedeutet aber oft auch großartige, gute Arbeit und schön. Seine Verwendung ist sehr ähnlich wie 🤙. Es sollte jedoch beachtet werden , dass es kulturelle Unterschiede in verschiedenen Regionen: in Westafrika, dem Mittleren Osten, Russland und Südamerika, bedeutet das gleiche wie 🖕 in der westlichen Zivilisation. Die Bedeutung des Emoji-Symbols 👍 ist Daumen hoch, es ist verwandt mit Daumen, gut, Hand, nach oben, finden Sie in der Emoji-Kategorie: "" 👌 Menschen & Körper"" - "" 👍 Hand-Finger-geschlossen"". Die aktuelle 👍 ist ein grundlegendes Emoji ohne Variantensymbole, und es gibt zwei entsprechende Emoji-Variationssequenzen: 👍️ (Emoji-Stil, Anzeige bunter Symbole auf den meisten neuen Plattformen) und 👍︎ (Textstil, Anzeige schwarz-weißer Symbole) einige alte Plattformen). 👍 ist eine Emoji-Modifikatorbasis, kann als einzelnes Emoji verwendet werden und kann auch mit dem Hautton-Emoji-Modifikator kombiniert werden, um ein neues Emoji zu bilden. Es gibt 5 Arten von Emoji-Modifikatoren, nämlich: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 👍 wird mit diesen Hautton-Emoji-Modifikatoren kombiniert, um neue Emoji-Modifikatorsequenzen zu bilden. Das Folgende sind Beispiele für die Kombination: 👍🏻 = 👍 + 🏻 👍🏼 = 👍 + 🏼 👍🏽 = 👍 + 🏽 👍🏾 = 👍 + 🏾 👍🏿 = 👍 + 🏿";Daumen | Daumen hoch | gut | Hand | nach oben | Hànd | Düma | güat | Guten | güt | guete | Güeta | Güeter | Gut | Güte | güet | gueta | Gueter | güeta | Güate | Gueten | Güeten | gut | Güet | gueti | guet | Güete | güete | Gute | Gueti | Guter | Güata | gueten | Guet | Guete | Güter | gueter | güeter | Güat | giüet | güeti | danken | danka | Dank | danke | richtig | richti | richtich | Richti | Richtige | richtigen | rechti | richtiga | Richtig | richtige | richdi | Richtigi | richtger | richtigi
😉;1F609;"Ein fröhliches Augenzwinkern, Einer der beliebtesten Emojis. Das Emoji kann Humor ausdrücken und wird auch häufig in Flirtszenen verwendet. Verwandte Emojis: 😝 😜 😙 😏 Die Bedeutung des Emoji-Symbols 😉 ist zwinkerndes Gesicht, es ist verwandt mit Gesicht, Zwinkern, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😄 lächelndes Gesicht"".";Gesicht | Zwinkern | zwinkerndes Gesicht | Àuigableck | Gsecht | Droscht | Troscht | tröscht | Troste | Troeschter | Trost | Tröscht | tröescht | Tröschter | tröschte
👌;1F44C;"Das ist eine rechte Hand, die an der Seite gehalten wird. Zehn Finger und die Daumenspitze sind zu einem Kreis ⭕️ zusammengeklebt , was 🆗 bedeutet. Das Emoji steht für ;gut; und ;akzeptieren; und kann auch die Zahl 3⃣ und die mundförmige Hand im Dai- Pfauentanz 🦚 darstellen . Manchmal bedeutet Das, dass Sie sprachlos sind und das Thema schnell beenden möchten. Verwandte Emojis: 🤘 🤙 🤞 🤟. Die Bedeutung des Emoji-Symbols 👌 ist OK-Zeichen, es ist verwandt mit exzellent, Hand, in Ordnung, OK, perfekt, finden Sie in der Emoji-Kategorie: "" 👌 Menschen & Körper"" - "" 👌 Hand-Finger-partiell"". 👌 ist eine Emoji-Modifikatorbasis, kann als einzelnes Emoji verwendet werden und kann auch mit dem Hautton-Emoji-Modifikator kombiniert werden, um ein neues Emoji zu bilden. Es gibt 5 Arten von Emoji-Modifikatoren, nämlich: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 👌 wird mit diesen Hautton-Emoji-Modifikatoren kombiniert, um neue Emoji-Modifikatorsequenzen zu bilden. Das Folgende sind Beispiele für die Kombination: 👌🏻 = 👌 + 🏻 👌🏼 = 👌 + 🏼 👌🏽 = 👌 + 🏽 👌🏾 = 👌 + 🏾 👌🏿 = 👌 + 🏿";exzellent | Hand | in Ordnung | OK | OK-Zeichen | perfekt | OK | Hànd | Hàndbewegung | zefriede | zefredde | zufrieden | zefridde | zefriedde | zufriede | Zefridde
😅;1F605;"Ein grinsendes Gesicht mit Schweißtropfen, stellt Spannung oder Verlegenheit dar, kann aber auch verwendet werden, um Komfort auszudrücken. Verwandte Emojis: 😢 😥 💧 😓 😰 😂 😳 Die Bedeutung des Emoji-Symbols 😅 ist grinsendes Gesicht mit Schweißtropfen, es ist verwandt mit Gesicht, grinsendes Gesicht mit Schweißtropfen, lustig, Schweiß, schwitzen, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😄 lächelndes Gesicht"".";Gesicht | grinsendes Gesicht mit Schweißtropfen | lustig | Schweiß | schwitzen | Lachla | lachlanda Gsecht met Schwaistropfa | lächelnd | Lächelt | lächelt | lachelt | unruehich | unruhigen | unruhig | unruehig | nervös | nervöse | Schwetze | schwitz
👀;1F440;"Das ist ein Paar Comic-Augen, die nach links schauen. Es wird auch in der Mitte auf Messenger-, Softbank- und Microsoft-Plattformen angezeigt. Es sieht ein wenig lustig aus und kann verwendet werden, um Überwachung, Voyeurismus, Zensur und Aufmerksamkeit sowie Spähen und Erwartung anzuzeigen. Verwandte Emojis: 🕶 👁 👁️ Die Bedeutung des Emoji-Symbols 👀 ist Augen, es ist verwandt mit Auge, Gesicht, finden Sie in der Emoji-Kategorie: "" 👌 Menschen & Körper"" - "" 👃 Körperteile"".";Auge | Augen | Gesicht | Kärwer | Àuig | Gsecht | Sehne | Sehn | überraschen | Erstaunen | Erstünne
