emoji	nom	catégorie	mots-clés	description	exemple	relation emoji
😔	visage pensif	Smileys & Emotion - visage-endormi	déçu | pensif | visage	"Une expression triste avec les yeux fermés et la tête basse, elle peut transmettre toutes sortes d’émotions tristes, y compris la déception, les blessures, la désolation ou la solitude. Il ressemble à 😞, mais sa signification est différente. La signification du symbole emoji 😔 est visage pensif, il est lié à déçu, pensif, visage, on peut le trouver dans la catégorie emoji: "" 😂 Smileys & Emotion"" - "" 😴 visage-endormi""."	L'ami de ma mère vient de perdre sa fille de 25 ans 😔.	😕😓☹😥🤷🏽‍♂️😢😬🕊️😿👈🏼
😘	visage envoyant un bisou	Smileys & Emotion - affection du visage	bisou | cœur | visage envoyant un bisou	"Un visage avec un œil clignotant, les lèvres froncées et un cœur rouge flottant. Il exprime généralement bonne nuit et au revoir de manière amicale et peut également signifier flirter. C'est similaire à 😗😙, mais avec quelques différences. La signification du symbole emoji 😘 est visage envoyant un bisou, il est lié à bisou, cœur, on peut le trouver dans la catégorie emoji: "" 😂 Smileys & Emotion"" - "" 😍 affection du visage""."	Merci beaucoup bestie. Je t'aime 😘😘	😚💋☺️☔️😊😉🤍🤗💕🕺🏻
😒	visage blasé	Smileys & Emotion » visage-neutre-sceptique	blasé | pas content | visage	"Un visage avec de légers sourcils et des yeux et des sourcils désapprobateurs. Il transmet certaines émotions négatives telles que désagrément, insatisfaction, aversion ou colère. Il peut être utilisé pour faire face à ceux qui se moquent de vous et peut également être utilisé pour exprimer du mépris pour les personnes qui entretiennent de bonnes relations. La signification du symbole emoji 😒 est visage blasé, il est lié à blasé, pas content, visage, on peut le trouver dans la catégorie emoji: "" 😂 Smileys & Emotion"" - "" 🤐 visage-neutre-sceptique""."	Le monde pourrait finir avant que je trouve un bf loyal. 😒😒	🙃😫👉🏽🤨🥱🤷🏽‍♀️🏃🏿‍♂️🗨〽️🤦🏾‍♀️
😩	visage épuisé	Smileys & Emotion - visage-inquiète	épuisé | fatigué | visage	"Avec ses sourcils levés et ses coins de bouche tombants. Il peut transmettre des émotions telles que frustration, tristesse, douleur, fatigue, ennui ou complètement vidé mentalement et physiquement. La signification du symbole emoji 😩 est visage épuisé, il est lié à épuisé, fatigué, visage, on peut le trouver dans la catégorie emoji: "" 😂 Smileys & Emotion"" - "" 😞 visage-inquiète ""."	Je me demande combien de personnes occuperaient votre société si elles devaient payer. 😩	🤰🏾🚶🏾‍♀️😣🤦🏾‍♀️😰🐍👩🏼‍💻🤯🤤⛰
😁	visage souriant aux yeux rieurs	Smileys & Emotion - visage-souriant	dents | sourire | visage souriant aux yeux rieurs	"Ce smiley rit ouvertement, spontanément et il est également utilisée pour exprimer le consentement ou la satisfaction. Parfois il est utilisé pour représenter le sarcasme. Cette emoji peut varier en fonction de la plate-forme que vous utilisez. La signification du symbole emoji 😁 est visage souriant aux yeux rieurs, il est lié à dents, sourire, on peut le trouver dans la catégorie emoji: "" 😂 Smileys & Emotion"" - "" 😄 visage-souriant""."	Merci pour avoir partagé cela sur votre histoire Instagram 😁😁	🌞🐾😽🙋‍♀️👋💖🙋💐💥😅
☺️	visage souriant	Smileys & Emotion - affection du visage	sourire | visage souriant	"C'est le visage souriant classique, les yeux souriants et la joue rose sur le rond visage signifient en général le bonheur, la chaleur et tout ce qui est postif. Il remplace également le texte emoji :). Il est similaire avec 😊, mais le sens est différent. Le ☺️ actuel est une variante d'Emoji (style emoji, affichant des symboles colorés sur la plupart des nouvelles plates-formes), et il a deux Emoji correspondants: ☺ (Emoji de base sans symboles de variante) et ☺︎ (style de texte, affichant des symboles en noir et blanc sur certaines anciennes plates-formes). La signification du symbole emoji ☺️ est visage souriant, il est lié à sourire, on peut le trouver dans la catégorie emoji: "" 😂 Smileys & Emotion"" - "" 😍 affection du visage""."	Comme un emoji de base, il peut être utilisé dans de nombreuses situations, par exemple: il fait beau aujourd'hui, je suis très heureux ☺️.; Merci pour le cadeau d'anniversaire ☺️.	😊🥰😘❤️👈🏾🎞💞🥺🤱🏻😏
🙏	mains en prière	Personne & Corps - mains	mains | mains en prière | prière	"Les deux mains réunies, généralement utiliser pour la prière, «s'il vous plaît» ou «merci», et parfois pour exprimer la tristesse, le regret ou en guise de « high five ». La signification du symbole emoji 🙏 est mains en prière, il est lié à mains, mains en prière, prière, on peut le trouver dans la catégorie emoji: "" 👌 Personne & Corps"" - "" 🤝 mains"". 🙏 est une base de modificateur Emoji, il peut être utilisé comme un seul Emoji, et peut également être combiné avec le modificateur Emoji de ton de peau pour former un nouvel Emoji. Il existe 5 types de modificateurs Emoji, à savoir: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 🙏 est combiné avec ces modificateurs Emoji de teint pour former de nouvelles séquences de modificateurs Emoji. Voici des exemples de la combinaison: 🙏🏻 = 🙏 + 🏻 🙏🏼 = 🙏 + 🏼 🙏🏽 = 🙏 + 🏽 🙏🏾 = 🙏 + 🏾 🙏🏿 = 🙏 + 🏿"	Sois gentil avec les animaux s'il te plait. 🙏🙏🙏	📍🌹▫️🎂🕊🕺👏➖👩🏼‍💻🚨
👍	pouce vers le haut	Personne & Corps - main-doigts-fermés	main | pouce vers le haut | super	"Une main avec le pouce vers le haut exprime bon, approbation, accord ou bien fait. Attention, dans les pays arabes, ce signe est l'équivalent du doigt d'honneur. La signification du symbole emoji 👍 est pouce vers le haut, il est lié à main, super, on peut le trouver dans la catégorie emoji: "" 👌 Personne & Corps"" - "" 👍 main-doigts-fermés"". La 👍 actuelle est un Emoji de base sans symboles de variante, et il existe deux séquences de variations Emoji qui lui correspondent: 👍️ (style emoji, affichant des symboles colorés sur la plupart des nouvelles plates-formes) et 👍︎ (style de texte, affichant des symboles en noir et blanc sur certaines anciennes plates-formes). 👍 est une base de modificateur Emoji, il peut être utilisé comme un seul Emoji, et peut également être combiné avec le modificateur Emoji de ton de peau pour former un nouvel Emoji. Il existe 5 types de modificateurs Emoji, à savoir: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 👍 est combiné avec ces modificateurs Emoji de teint pour former de nouvelles séquences de modificateurs Emoji. Voici des exemples de la combinaison: 👍🏻 = 👍 + 🏻 👍🏼 = 👍 + 🏼 👍🏽 = 👍 + 🏽 👍🏾 = 👍 + 🏾 👍🏿 = 👍 + 🏿"	C'est une super nouvelle! 👍	😎🧇😷🏃‍♂️🥟👌🏻😉🐣⭕🌃
😉	visage faisant un clin d’œil	Smileys & Emotion - visage-souriant	clin d’œil | visage | visage faisant un clin d’œil	"Visage qui fait un clin d'oeil, c'est l'une des expressions les plus populaires, cet émoji peut exprimer l'humour et est également couramment utilisé dans les scènes de flirt. Le clin d'oeil atténue l'effet d'une nouvelle : ne pas prendre les choses trop sérieusement, mais plutôt avec humour. Sur internet, il s'appelle aussi ""wink"" et il serve à envoyer l'amour.💗 La signification du symbole emoji 😉 est visage faisant un clin d’œil, il est lié à clin d’œil, visage, visage faisant un clin d’œil, on peut le trouver dans la catégorie emoji: "" 😂 Smileys & Emotion"" - "" 😄 visage-souriant""."	Salutations à toutes les beautés ici 😉	🕺🏻🏓😘😀⚪😲⁉️🤏🏻👕↩️
👌	ok	Personne & Corps - main-doigts-partielle	geste | main | ok	"L'index et le pouce forment un cercle, ce qui signifie OK 🆗. Cela ne signifie pas seulement «bien/oui» ou « Tout se passe bien !». Attention! Dans certaines cultures, c'est un geste hostile, utilisez-le avec prudence! Emoji similaire: 🤘🤙🤞🤟. La signification du symbole emoji 👌 est ok, il est lié à geste, main, on peut le trouver dans la catégorie emoji: "" 👌 Personne & Corps"" - "" 👌 main-doigts-partielle"". 👌 est une base de modificateur Emoji, il peut être utilisé comme un seul Emoji, et peut également être combiné avec le modificateur Emoji de ton de peau pour former un nouvel Emoji. Il existe 5 types de modificateurs Emoji, à savoir: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 👌 est combiné avec ces modificateurs Emoji de teint pour former de nouvelles séquences de modificateurs Emoji. Voici des exemples de la combinaison: 👌🏻 = 👌 + 🏻 👌🏼 = 👌 + 🏼 👌🏽 = 👌 + 🏽 👌🏾 = 👌 + 🏾 👌🏿 = 👌 + 🏿"	J'en ai allé, tout va bien dans la route 👌.	👊🎮😱🎟🤑➡👏🏻😗✔️🖐
😅	visage souriant avec une goutte de sueur	Smileys & Emotion - visage-souriant	sourire | visage souriant avec une goutte de sueur	"Une bouche grande ouverte avec une seule goutte de sueur sur un côté du front, représentant une tension ou une gêne, mais elle peut également être utilisée pour exprimer le soulagement . La signification du symbole emoji 😅 est visage souriant avec une goutte de sueur, il est lié à sourire, on peut le trouver dans la catégorie emoji: "" 😂 Smileys & Emotion"" - "" 😄 visage-souriant""."	Honnêtement, ça me dérange quand je vois des gens porter des chaussures sans chaussettes. 😅😅	😬🧍🙄💁🏻‍♀️😁🤦‍♂️🐳🤣🧑🙈
👀	yeux	Personne & Corps - corps-partie	corps | œil | visage | yeux	"Les deux yeux regardent vers la gauche. Un peu drôles, peuvent être utilisés pour indiquer une surveillance, une révision ou une attente. La signification du symbole emoji 👀 est yeux, il est lié à corps, œil, visage, on peut le trouver dans la catégorie emoji: "" 👌 Personne & Corps"" - "" 👃 corps-partie""."	JB5 arrive 👀	✴✊🏽🙌🏾⚾️🏆🎻🚨🔙☝🏽😁
