emoji	nom	catégorie	mots-clés	description	exemple	relation emoji
😔	visage pensif - nachdenkliches Gesicht	Smileys & Emotion - visage-endormi, Smileys & Emotionen - schläfrig	déçu | pensif | visage Gesicht | nachdenklich | nachdenkliches Gesicht	Une expression triste avec les yeux fermés et la tête basse, elle peut transmettre toutes sortes d’émotions tristes, y compris la déception, les blessures, la désolation ou la solitude. Il ressemble à 😞, mais sa signification est différente. La signification du symbole emoji 😔 est visage pensif, il est lié à déçu, pensif, visage, on peut le trouver dans la catégorie emoji:  😂 Smileys & Emotion -  😴 visage-endormi. Ein trauriger Ausdruck mit geschlossenen Augen und niedrigem Kopf, der alle Arten von traurigen Emotionen verbreiten kann, einschließlich Enttäuschung, Verletzung, Entschuldigung Einsamkeit oder Frustration. Ähnlich wie😞 . Die Bedeutung des Emoji-Symbols 😔 ist nachdenkliches Gesicht, es ist verwandt mit Gesicht, nachdenklich, finden Sie in der Emoji-Kategorie:  😂 Smileys & Emotionen -  😴 schläfrig.	"L'ami de ma mère vient de perdre sa fille de 25 ans 😔.
Die Freundin meiner Mutter hat gerade ihre 25-jährige Tochter verloren 😔"	😕😓☹😥🤷🏽‍♂️😢😬🕊️😿👈🏼😔😞😢😥😓😰🥺😯😭🤥
😘	visage envoyant un bisou - Kuss zuwerfendes Gesicht	Smileys & Emotion - affection du visage, Smileys & Emotionen - Gesichtszuneigung	bisou | cœur | visage envoyant un bisou | Gesicht | Kuss | Kuss zuwerfendes Gesicht	Un visage avec un œil clignotant, les lèvres froncées et un cœur rouge flottant. Il exprime généralement bonne nuit et au revoir de manière amicale et peut également signifier flirter. C'est similaire à 😗😙, mais avec quelques différences. La signification du symbole emoji 😘 est visage envoyant un bisou, il est lié à bisou, cœur, on peut le trouver dans la catégorie emoji:  😂 Smileys & Emotion -  😍 affection du visage. Ein Gesicht mit einem Augenzwinkern, Kuss mit einem schwebenden roten Herzen zuwerfend. Es drückt im Allgemeinen gute Nacht oder Auf Wiedersehen und kann auch die Bedeutung von Flirten haben. Ähnlich wie 😗😙 Die Bedeutung des Emoji-Symbols 😘 ist Kuss zuwerfendes Gesicht, es ist verwandt mit Gesicht, Kuss, finden Sie in der Emoji-Kategorie:  😂 Smileys & Emotionen -  😍 Gesichtszuneigung.	"Merci beaucoup bestie. Je t'aime 😘😘
Vielen Dank Bestie. Ich liebe dich 😘 😘"	😚💋☺️☔️😊😉🤍🤗💕🕺🏻😘😗😙💏💋👨‍❤️‍💋‍👨👩‍❤️‍💋‍👩😚😍🥰
😒	visage blasé - verstimmtes Gesicht	Smileys & Emotion - visage-neutre-sceptique, Smileys & Emotionen - gesichtsneutral-skeptisch	blasé | pas content | visage | Gesicht | unglücklich | verstimmtes Gesicht	Un visage avec de légers sourcils et des yeux et des sourcils désapprobateurs. Il transmet certaines émotions négatives telles que désagrément, insatisfaction, aversion ou colère. Il peut être utilisé pour faire face à ceux qui se moquent de vous et peut également être utilisé pour exprimer du mépris pour les personnes qui entretiennent de bonnes relations. La signification du symbole emoji 😒 est visage blasé, il est lié à blasé, pas content, visage, on peut le trouver dans la catégorie emoji:  😂 Smileys & Emotion -  🤐 visage-neutre-sceptique. Ein Gesicht mit leichtem Stirnrunzeln und missbilligenden Augenbrauen. Vermittelt negative Emotionen wie Unannehmlichkeiten, Unzufriedenheit, Abneigung oder Wut. Kann auch verwendet werden, um sich denen zu stellen, die über dich lachen. Die Bedeutung des Emoji-Symbols 😒 ist verstimmtes Gesicht, es ist verwandt mit Gesicht, unglücklich, finden Sie in der Emoji-Kategorie:  😂 Smileys & Emotionen -  🤐 gesichtsneutral-skeptisch.	"Le monde pourrait finir avant que je trouve un bf loyal. 😒😒
Meine Freundin hat in mein Ins Kommentare geschreibt: Du bist dick wie ein Faß.😒 😒 😒 ."	🙃😫👉🏽🤨🥱🤷🏽‍♀️🏃🏿‍♂️🗨〽️🤦🏾‍♀️😒😠😼😕😑🤦🤨🙄🤥🤢
😩	visage épuisé - erschöpftes Gesicht	Smileys & Emotion - visage-inquiète, Smileys & Emotionen - Gesicht besorgt	épuisé | fatigué | visage | erschöpft | erschöpftes Gesicht | Gesicht | müde	Avec ses sourcils levés et ses coins de bouche tombants. Il peut transmettre des émotions telles que frustration, tristesse, douleur, fatigue, ennui ou complètement vidé mentalement et physiquement. La signification du symbole emoji 😩 est visage épuisé, il est lié à épuisé, fatigué, visage, on peut le trouver dans la catégorie emoji:  😂 Smileys & Emotion -  😞 visage-inquiète . Stirnrunzelndes, erschöpftes Gesicht mit abfallendem Mundwinkel.Es kann Emotionen wie Frustration, Traurigkeit, Schmerz, Müdigkeit oder Langeweile vermitteln oder geistig/körperlich völlig ausgeläuft sein. Die Bedeutung des Emoji-Symbols 😩 ist erschöpftes Gesicht, es ist verwandt mit erschöpft, erschöpftes Gesicht, Gesicht, müde, finden Sie in der Emoji-Kategorie:  😂 Smileys & Emotionen -  😞 Gesicht besorgt.	"Je me demande combien de personnes occuperaient votre société si elles devaient payer. 😩
Warum gibt es heute so viele Menschen im Museum. Das Volk drängte sich.😩 😩"	🤰🏾🚶🏾‍♀️😣🤦🏾‍♀️😰🐍👩🏼‍💻🤯🤤⛰😩😠😖😥😰😯😭😣🤬😴
😁	visage souriant aux yeux rieurs - strahlendes Gesicht mit lachenden Augen	Smileys & Emotion - visage-souriant, Smileys & Emotionen - lächelndes Gesicht	dents | sourire | visage souriant aux yeux rieurs | Gesicht | lustig | strahlendes Gesicht mit lachenden Augen | Zähne	Ce smiley rit ouvertement, spontanément et il est également utilisée pour exprimer le consentement ou la satisfaction. Parfois il est utilisé pour représenter le sarcasme. Cette emoji peut varier en fonction de la plate-forme que vous utilisez. La signification du symbole emoji 😁 est visage souriant aux yeux rieurs, il est lié à dents, sourire, on peut le trouver dans la catégorie emoji:  😂 Smileys & Emotion -  😄 visage-souriant. Lachendes Gesicht mit offenem Mund und lächelnden Augen Dieses Emoji drückt Glück aus und wird auch verwendet, um Zustimmung oder Zufriedenheit auszudrücken. Seine Farbe variiert je nach Plattform.Verwandte Emojis: 😬 🤩 😸 🤠 Die Bedeutung des Emoji-Symbols 😁 ist strahlendes Gesicht mit lachenden Augen, es ist verwandt mit Gesicht, lustig, Zähne, finden Sie in der Emoji-Kategorie:  😂 Smileys & Emotionen -  😄 lächelndes Gesicht.	"Merci pour avoir partagé cela sur votre histoire Instagram 😁😁
Eine Flasche Mineralwasser ohne Kohlensäure, bitte.😁"	🌞🐾😽🙋‍♀️👋💖🙋💐💥😅😁😬🤩😸🤠😀🙂😺😇😃
☺️	visage souriant - lächelndes Gesicht	Smileys & Emotion - affection du visage, Smileys & Emotionen - Gesichtszuneigung	sourire | visage souriant | fröhlich | Lächeln | lächelnd | lächelndes Gesicht	C'est le visage souriant classique, les yeux souriants et la joue rose sur le rond visage signifient en général le bonheur, la chaleur et tout ce qui est postif. Il remplace également le texte emoji :). Il est similaire avec 😊, mais le sens est différent. Le ☺️ actuel est une variante d'Emoji (style emoji, affichant des symboles colorés sur la plupart des nouvelles plates-formes), et il a deux Emoji correspondants: ☺ (Emoji de base sans symboles de variante) et ☺︎ (style de texte, affichant des symboles en noir et blanc sur certaines anciennes plates-formes). La signification du symbole emoji ☺️ est visage souriant, il est lié à sourire, on peut le trouver dans la catégorie emoji:  😂 Smileys & Emotion -  😍 affection du visage. Klassisches Smiley-Gesicht, es kann als der Pionier des Emoji angesehen werden. Es kniff die Augen zusammen und lächelte rot. Wird im Allgemeinen verwendet, um Glück, Wärme, Glück oder Dankbarkeit auszudrücken. Textbasierte Variante: :) oder :-).Ähnlich wie 😊 Der aktuelle ☺️ ist eine Variante von Emoji (Emoji-Stil, der auf den meisten neuen Plattformen farbenfrohe Symbole anzeigt) und verfügt über zwei entsprechende Emoji: ☺ (Basis-Emoji ohne Variantensymbole) und ☺︎ (Textstil, Anzeige von schwarzen und weißen Symbolen) einige alte Plattformen). Die Bedeutung des Emoji-Symbols ☺️ ist lächelndes Gesicht, es ist verwandt mit fröhlich, Lächeln, lächelnd, lächelndes Gesicht, finden Sie in der Emoji-Kategorie:  😂 Smileys & Emotionen -  😍 Gesichtszuneigung.	"Comme un emoji de base, il peut être utilisé dans de nombreuses situations, par exemple: il fait beau aujourd'hui, je suis très heureux ☺️.; Merci pour le cadeau d'anniversaire ☺️.
Ihre Freundin sagt Ihnen: „Ich habe mir gerade die Haare geschnitten, mein Freund hat mir gesagt, dass es süß aussieht ☺️ “ Danke, lieber ☺️"	😊🥰😘❤️👈🏾🎞💞🥺🤱🏻😏☺️😊😋😀😁🤗😚😌🙂😇
🙏	mains en prière - zusammengelegte Handflächen	Personne & Corps - mains, Menschen & Körper - Hände	mains | mains en prière | prière | beten | betende Hände | bitte | Gebet	Les deux mains réunies, généralement utiliser pour la prière, «s'il vous plaît» ou «merci», et parfois pour exprimer la tristesse, le regret ou en guise de « high five ». La signification du symbole emoji 🙏 est mains en prière, il est lié à mains, mains en prière, prière, on peut le trouver dans la catégorie emoji:  👌 Personne & Corps -  🤝 mains. 🙏 est une base de modificateur Emoji, il peut être utilisé comme un seul Emoji, et peut également être combiné avec le modificateur Emoji de ton de peau pour former un nouvel Emoji. Il existe 5 types de modificateurs Emoji, à savoir: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 🙏 est combiné avec ces modificateurs Emoji de teint pour former de nouvelles séquences de modificateurs Emoji. Voici des exemples de la combinaison: 🙏🏻 = 🙏 + 🏻 🙏🏼 = 🙏 + 🏼 🙏🏽 = 🙏 + 🏽 🙏🏾 = 🙏 + 🏾 🙏🏿 = 🙏 + 🏿 . Die beiden Hände sind zusammengeschlossen, werden normalerweise zum Gebet, Bitte oder Danke verwendet und manchmal verwendet, um Traurigkeit, Bedauern oder High-Five auszudrücken. Die Bedeutung des Emoji-Symbols 🙏 ist zusammengelegte Handflächen, es ist verwandt mit beten, betende Hände, bitte, Gebet, finden Sie in der Emoji-Kategorie:  👌 Menschen & Körper -  🤝 Hände. 🙏 ist eine Emoji-Modifikatorbasis, kann als einzelnes Emoji verwendet werden und kann auch mit dem Hautton-Emoji-Modifikator kombiniert werden, um ein neues Emoji zu bilden. Es gibt 5 Arten von Emoji-Modifikatoren, nämlich: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 🙏 wird mit diesen Hautton-Emoji-Modifikatoren kombiniert, um neue Emoji-Modifikatorsequenzen zu bilden. Das Folgende sind Beispiele für die Kombination: 🙏🏻 = 🙏 + 🏻 🙏🏼 = 🙏 + 🏼 🙏🏽 = 🙏 + 🏽 🙏🏾 = 🙏 + 🏾 🙏🏿 = 🙏 + 🏿	"Sois gentil avec les animaux s'il te plait. 🙏🙏🙏
Sei bitte nett zu Tieren. 🙏 🙏 🙏"	📍🌹▫️🎂🕊🕺👏➖👩🏼‍💻🚨🙏👐🤲🕋🧎✝⛪🕍🙇🙌
👍	pouce vers le haut - Daumen hoch	Personne & Corps - main-doigts-fermés, Menschen & Körper - Hand-Finger-Geschlossen	main | pouce vers le haut | super | Daumen | Daumen hoch | gut | Hand | nach oben	Une main avec le pouce vers le haut exprime bon, approbation, accord ou bien fait. Attention, dans les pays arabes, ce signe est l'équivalent du doigt d'honneur. La signification du symbole emoji 👍 est pouce vers le haut, il est lié à main, super, on peut le trouver dans la catégorie emoji:  👌 Personne & Corps -  👍 main-doigts-fermés. La 👍 actuelle est un Emoji de base sans symboles de variante, et il existe deux séquences de variations Emoji qui lui correspondent: 👍️ (style emoji, affichant des symboles colorés sur la plupart des nouvelles plates-formes) et 👍︎ (style de texte, affichant des symboles en noir et blanc sur certaines anciennes plates-formes). 👍 est une base de modificateur Emoji, il peut être utilisé comme un seul Emoji, et peut également être combiné avec le modificateur Emoji de ton de peau pour former un nouvel Emoji. Il existe 5 types de modificateurs Emoji, à savoir: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 👍 est combiné avec ces modificateurs Emoji de teint pour former de nouvelles séquences de modificateurs Emoji. Voici des exemples de la combinaison: 👍🏻 = 👍 + 🏻 👍🏼 = 👍 + 🏼 👍🏽 = 👍 + 🏽 👍🏾 = 👍 + 🏾 👍🏿 = 👍 + 🏿 . Das ist eine Daumen hoch-Geste. Das Emoji wird normalerweise verwendet, um Zustimmung oder Lob auszudrücken, bedeutet aber oft auch großartige, gute Arbeit und schön. Seine Verwendung ist sehr ähnlich wie 🤙. Es sollte jedoch beachtet werden , dass es kulturelle Unterschiede in verschiedenen Regionen: in Westafrika, dem Mittleren Osten, Russland und Südamerika, bedeutet das gleiche wie 🖕 in der westlichen Zivilisation. Die Bedeutung des Emoji-Symbols 👍 ist Daumen hoch, es ist verwandt mit Daumen, gut, Hand, nach oben, finden Sie in der Emoji-Kategorie:  👌 Menschen & Körper -  👍 Hand-Finger-geschlossen. Die aktuelle 👍 ist ein grundlegendes Emoji ohne Variantensymbole, und es gibt zwei entsprechende Emoji-Variationssequenzen: 👍️ (Emoji-Stil, Anzeige bunter Symbole auf den meisten neuen Plattformen) und 👍︎ (Textstil, Anzeige schwarz-weißer Symbole) einige alte Plattformen). 👍 ist eine Emoji-Modifikatorbasis, kann als einzelnes Emoji verwendet werden und kann auch mit dem Hautton-Emoji-Modifikator kombiniert werden, um ein neues Emoji zu bilden. Es gibt 5 Arten von Emoji-Modifikatoren, nämlich: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 👍 wird mit diesen Hautton-Emoji-Modifikatoren kombiniert, um neue Emoji-Modifikatorsequenzen zu bilden. Das Folgende sind Beispiele für die Kombination: 👍🏻 = 👍 + 🏻 👍🏼 = 👍 + 🏼 👍🏽 = 👍 + 🏽 👍🏾 = 👍 + 🏾 👍🏿 = 👍 + 🏿	"C'est une super nouvelle! 👍
Danke, dass du es in meinen Feed aufgenommen hast 👍 ."	😎🧇😷🏃‍♂️🥟👌🏻😉🐣⭕🌃👍🤙🖕👏🙆👌🙌🆗👎✌
😉	visage faisant un clin d’œil - zwinkerndes Gesicht	Smileys & Emotion - visage-souriant, Smileys & Emotionen - lächelndes Gesicht	clin d’œil | visage | visage faisant un clin d’œil | Gesicht | Zwinkern | zwinkerndes Gesicht	Visage qui fait un clin d'oeil, c'est l'une des expressions les plus populaires, cet émoji peut exprimer l'humour et est également couramment utilisé dans les scènes de flirt. Le clin d'oeil atténue l'effet d'une nouvelle : ne pas prendre les choses trop sérieusement, mais plutôt avec humour. Sur internet, il s'appelle aussi wink et il serve à envoyer l'amour.💗 La signification du symbole emoji 😉 est visage faisant un clin d’œil, il est lié à clin d’œil, visage, visage faisant un clin d’œil, on peut le trouver dans la catégorie emoji:  😂 Smileys & Emotion -  😄 visage-souriant. Ein fröhliches Augenzwinkern, Einer der beliebtesten Emojis. Das Emoji kann Humor ausdrücken und wird auch häufig in Flirtszenen verwendet. Verwandte Emojis: 😝 😜 😙 😏 Die Bedeutung des Emoji-Symbols 😉 ist zwinkerndes Gesicht, es ist verwandt mit Gesicht, Zwinkern, finden Sie in der Emoji-Kategorie:  😂 Smileys & Emotionen -  😄 lächelndes Gesicht.	"Salutations à toutes les beautés ici 😉
Grüße an alle Schönheiten hier 😉"	🕺🏻🏓😘😀⚪😲⁉️🤏🏻👕↩️😉😝😜😙😏😘😊🤨🙄✨
👌	ok - OK-Zeichen	Personne & Corps - main-doigts-partielle, Menschen & Körper - Hand-Finger-partiell	geste | main | ok | exzellent | Hand | in Ordnung | OK | OK-Zeichen | perfekt	L'index et le pouce forment un cercle, ce qui signifie OK 🆗. Cela ne signifie pas seulement «bien/oui» ou « Tout se passe bien !». Attention! Dans certaines cultures, c'est un geste hostile, utilisez-le avec prudence! Emoji similaire: 🤘🤙🤞🤟. La signification du symbole emoji 👌 est ok, il est lié à geste, main, on peut le trouver dans la catégorie emoji:  👌 Personne & Corps -  👌 main-doigts-partielle. 👌 est une base de modificateur Emoji, il peut être utilisé comme un seul Emoji, et peut également être combiné avec le modificateur Emoji de ton de peau pour former un nouvel Emoji. Il existe 5 types de modificateurs Emoji, à savoir: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 👌 est combiné avec ces modificateurs Emoji de teint pour former de nouvelles séquences de modificateurs Emoji. Voici des exemples de la combinaison: 👌🏻 = 👌 + 🏻 👌🏼 = 👌 + 🏼 👌🏽 = 👌 + 🏽 👌🏾 = 👌 + 🏾 👌🏿 = 👌 + 🏿 . Das ist eine rechte Hand, die an der Seite gehalten wird. Zehn Finger und die Daumenspitze sind zu einem Kreis ⭕️ zusammengeklebt , was 🆗 bedeutet. Das Emoji steht für ;gut; und ;akzeptieren; und kann auch die Zahl 3⃣ und die mundförmige Hand im Dai- Pfauentanz 🦚 darstellen . Manchmal bedeutet Das, dass Sie sprachlos sind und das Thema schnell beenden möchten. Verwandte Emojis: 🤘 🤙 🤞 🤟. Die Bedeutung des Emoji-Symbols 👌 ist OK-Zeichen, es ist verwandt mit exzellent, Hand, in Ordnung, OK, perfekt, finden Sie in der Emoji-Kategorie:  👌 Menschen & Körper -  👌 Hand-Finger-partiell. 👌 ist eine Emoji-Modifikatorbasis, kann als einzelnes Emoji verwendet werden und kann auch mit dem Hautton-Emoji-Modifikator kombiniert werden, um ein neues Emoji zu bilden. Es gibt 5 Arten von Emoji-Modifikatoren, nämlich: 🏻 , 🏼 , 🏽 , 🏾 , 🏿 . 👌 wird mit diesen Hautton-Emoji-Modifikatoren kombiniert, um neue Emoji-Modifikatorsequenzen zu bilden. Das Folgende sind Beispiele für die Kombination: 👌🏻 = 👌 + 🏻 👌🏼 = 👌 + 🏼 👌🏽 = 👌 + 🏽 👌🏾 = 👌 + 🏾 👌🏿 = 👌 + 🏿	"J'en ai allé, tout va bien dans la route 👌.
Wenn Sie zum Beispiel auf Geschäftsreise sind, kann es einen Monat dauern, Ihre Frau macht sich ein wenig Sorgen um Sie, Sie möchten zum Ausdruck bringen, dass Sie dort sehr gut sind: Baby, keine Sorge, alles läuft gut 👌 ."	👊🎮😱🎟🤑➡👏🏻😗✔️🖐👌⭕️🆗3⃣🦚🤘🤙🤞🤟🙆
😅	visage souriant avec une goutte de sueur - grinsendes Gesicht mit Schweißtropfen	Smileys & Emotion - visage-souriant, Smileys & Emotionen - lächelndes Gesicht	sourire | visage souriant avec une goutte de sueur | Gesicht | grinsendes Gesicht mit Schweißtropfen | lustig | Schweiß | schwitzen	Une bouche grande ouverte avec une seule goutte de sueur sur un côté du front, représentant une tension ou une gêne, mais elle peut également être utilisée pour exprimer le soulagement . La signification du symbole emoji 😅 est visage souriant avec une goutte de sueur, il est lié à sourire, on peut le trouver dans la catégorie emoji:  😂 Smileys & Emotion -  😄 visage-souriant. Ein grinsendes Gesicht mit Schweißtropfen, stellt Spannung oder Verlegenheit dar, kann aber auch verwendet werden, um Komfort auszudrücken. Verwandte Emojis: 😢 😥 💧 😓 😰 😂 😳 Die Bedeutung des Emoji-Symbols 😅 ist grinsendes Gesicht mit Schweißtropfen, es ist verwandt mit Gesicht, grinsendes Gesicht mit Schweißtropfen, lustig, Schweiß, schwitzen, finden Sie in der Emoji-Kategorie:  😂 Smileys & Emotionen -  😄 lächelndes Gesicht.	"Honnêtement, ça me dérange quand je vois des gens porter des chaussures sans chaussettes. 😅😅
Ich habe es vergessen, meine Bücher mitzubringen. 😅"	😬🧍🙄💁🏻‍♀️😁🤦‍♂️🐳🤣🧑🙈😅😢😥💧😓😰😂😳😬😃
👀	yeux - Augen	Personne & Corps - corps-partie, Menschen & Körper - Körperteile	corps | œil | visage | yeux | Auge | Augen | Gesicht	Les deux yeux regardent vers la gauche. Un peu drôles, peuvent être utilisés pour indiquer une surveillance, une révision ou une attente. La signification du symbole emoji 👀 est yeux, il est lié à corps, œil, visage, on peut le trouver dans la catégorie emoji:  👌 Personne & Corps -  👃 corps-partie. Das ist ein Paar Comic-Augen, die nach links schauen. Es wird auch in der Mitte auf Messenger-, Softbank- und Microsoft-Plattformen angezeigt. Es sieht ein wenig lustig aus und kann verwendet werden, um Überwachung, Voyeurismus, Zensur und Aufmerksamkeit sowie Spähen und Erwartung anzuzeigen. Verwandte Emojis: 🕶 👁 👁️ Die Bedeutung des Emoji-Symbols 👀 ist Augen, es ist verwandt mit Auge, Gesicht, finden Sie in der Emoji-Kategorie:  👌 Menschen & Körper -  👃 Körperteile.	"JB5 arrive 👀
Bald komme ich 👀 ！"	✴✊🏽🙌🏾⚾️🏆🎻🚨🔙☝🏽😁👀🕶👁👁️‍🗨️👓🥺🙄😳🙈😎
